（～に）かんどうする,To be moved/touched (by),（～に）感動する,irr-verb
（～の）ちかく,Near / Nearby,（～の）近く,other
（A)(と)(B)(の）,. . . Is between (A) and (B),間,other
(Person)(に)(thing)(に)　もらう,To receive (something) from (person),null,u-verb
（Thing)（が）ほしい,to want,（Thing)（が）欲しい,adjective
（お）たんじょうびおめでとう,Happy Birthday,null,other
（こうくうびん）でおねがいします。,Make this (an airmail)、Please. (Post Office),（航空便）でお願いします。,other
（めがねを）かける,To put on (glasses),null,u-verb
～あいだに,while .  . .,～間に,other
～いか,. . . or less,～以下,other
～いがい,other than . . .,～以外,other
～いき,Bound for . . .,～行き,other
～いじょう,. . . or more,～以上,other
～いじょう,... or more,～以上,other
～いない,within . . .,～以内,other
～えん,. . . Yen,null,other
～おめでとう（ございます）,Congratulations on . . .,null,other
～が,. . . but,null,other
～か～,or,null,other
～かい,. . . times,～回,other
～かい,...th floor,～階,other
～かげつ,for . . . months,～か月,other
～がとくいです,is comfortable with . . . (a skill ),null,other
～かな（あ）,I wonder . . .(casual),null,other
～がにてです,is uncomfortable with . . . (a skill ),null,other
～から,because . . .,null,other
～から,From . . .,null,other
～ぎょうめ,Line Number . . .,～行目,noun
～キロ,. . . kilometers / . . . kilograms,null,other
～ぐらい,About (approximate measurements),null,other
～くん,mr. / mrs .  .  . (casual),～君,other
～けど,. . .、but / . . .、so,null,other
～こ,(Generic counter for smaller items),～個,other
～ご,. . . Language (Type of language),null,noun
～ご,in . . . times / after . . .,～後,other
～ごろ,At about . . .,null,other
～さい,. . . Years old,null,other
～さつ,(counter for bound volumes),～冊,other
～さま,mr. / ms. . . .,～様,other
～さん,Mr./Mrs.,null,noun
～じ,. . . O'clock,null,other
～じかん,. . . Hours,～時間,noun
～しゅうかん,for . . . weeks,～週間,other
～じん,. . . People (Type of people),null,noun
～だい,(counter for equipment),～台,other
～だい,charge / fee,～代,noun
～だけ,just . . . / only . . .,null,other
～たち,( makes a noun plural),null,other
～ちゅう,while . . .,～中,other
～つき,(At the hotel) with . . .,～付,other
～で,by (means of transportation) / with (a tool),null,other
～ていらっしゃる,honorific for: ～ている,null,u-verb
～ておる,Extra-modest expression for ～ている,null,u-verb
～でござる,Extra-modest expression for です,null,u-verb
～でしょう,Probably / . . . 、right?,null,other
～てん,. . . points,～点,other
～と,Together with (a person),null,other
～ど,. . . degrees (temperature),～渡,other
～とか,. . . for example,null,other
～ともうします,My name is . . .,～と申します,other
～など,And so forth,null,other
～にくらべて,compared with . . .,～に比べて,other
～について,About . . . / Concerning . . .,null,other
～によると,according to . . .,null,other
